aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
PyTorch Version: 2.0.0
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: afad-ordinal
Script: /home/alumne/Desktop/TREBALL/Starting point/model-code/afad-ordinal-copy.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 19.9314
Epoch: 001/050 | Batch 0050/0462 | Cost: 9.9531
Epoch: 001/050 | Batch 0100/0462 | Cost: 9.9249
Epoch: 001/050 | Batch 0150/0462 | Cost: 10.0842
Epoch: 001/050 | Batch 0200/0462 | Cost: 9.6806
Epoch: 001/050 | Batch 0250/0462 | Cost: 8.9744
Epoch: 001/050 | Batch 0300/0462 | Cost: 9.4452
Epoch: 001/050 | Batch 0350/0462 | Cost: 9.2701
Epoch: 001/050 | Batch 0400/0462 | Cost: 9.4234
Epoch: 001/050 | Batch 0450/0462 | Cost: 9.3060
MAE/RMSE: | Current Valid: 10.22/10.96 Ep. 0 | Best Valid : 10.22/10.96 Ep. 0
Time elapsed: 8.04 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 12.6587
Epoch: 002/050 | Batch 0050/0462 | Cost: 8.9711
Epoch: 002/050 | Batch 0100/0462 | Cost: 8.5087
Epoch: 002/050 | Batch 0150/0462 | Cost: 9.9413
Epoch: 002/050 | Batch 0200/0462 | Cost: 9.1186
Epoch: 002/050 | Batch 0250/0462 | Cost: 9.3657
Epoch: 002/050 | Batch 0300/0462 | Cost: 9.0487
Epoch: 002/050 | Batch 0350/0462 | Cost: 8.5654
Epoch: 002/050 | Batch 0400/0462 | Cost: 9.3035
Epoch: 002/050 | Batch 0450/0462 | Cost: 8.3106
MAE/RMSE: | Current Valid: 8.28/9.29 Ep. 1 | Best Valid : 8.28/9.29 Ep. 1
Time elapsed: 16.20 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.5835
Epoch: 003/050 | Batch 0050/0462 | Cost: 8.0450
Epoch: 003/050 | Batch 0100/0462 | Cost: 8.8487
Epoch: 003/050 | Batch 0150/0462 | Cost: 8.2133
Epoch: 003/050 | Batch 0200/0462 | Cost: 9.1928
Epoch: 003/050 | Batch 0250/0462 | Cost: 7.8115
Epoch: 003/050 | Batch 0300/0462 | Cost: 8.3297
Epoch: 003/050 | Batch 0350/0462 | Cost: 8.4424
Epoch: 003/050 | Batch 0400/0462 | Cost: 8.9716
Epoch: 003/050 | Batch 0450/0462 | Cost: 8.1079
MAE/RMSE: | Current Valid: 8.11/9.20 Ep. 2 | Best Valid : 8.11/9.20 Ep. 2
Time elapsed: 24.37 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 19.9527
Epoch: 004/050 | Batch 0050/0462 | Cost: 8.3085
Epoch: 004/050 | Batch 0100/0462 | Cost: 8.3055
Epoch: 004/050 | Batch 0150/0462 | Cost: 8.2607
Epoch: 004/050 | Batch 0200/0462 | Cost: 7.8066
Epoch: 004/050 | Batch 0250/0462 | Cost: 8.0184
Epoch: 004/050 | Batch 0300/0462 | Cost: 7.9968
Epoch: 004/050 | Batch 0350/0462 | Cost: 8.1153
Epoch: 004/050 | Batch 0400/0462 | Cost: 7.6608
Epoch: 004/050 | Batch 0450/0462 | Cost: 8.5394
MAE/RMSE: | Current Valid: 7.30/8.42 Ep. 3 | Best Valid : 7.30/8.42 Ep. 3
Time elapsed: 32.56 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 16.4279
Epoch: 005/050 | Batch 0050/0462 | Cost: 8.1742
Epoch: 005/050 | Batch 0100/0462 | Cost: 8.6338
Epoch: 005/050 | Batch 0150/0462 | Cost: 7.8744
Epoch: 005/050 | Batch 0200/0462 | Cost: 8.3630
Epoch: 005/050 | Batch 0250/0462 | Cost: 7.6109
Epoch: 005/050 | Batch 0300/0462 | Cost: 7.7194
Epoch: 005/050 | Batch 0350/0462 | Cost: 7.5712
Epoch: 005/050 | Batch 0400/0462 | Cost: 8.0225
Epoch: 005/050 | Batch 0450/0462 | Cost: 8.5423
MAE/RMSE: | Current Valid: 7.75/8.93 Ep. 4 | Best Valid : 7.30/8.42 Ep. 3
Time elapsed: 40.74 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 12.3723
Epoch: 006/050 | Batch 0050/0462 | Cost: 8.6706
Epoch: 006/050 | Batch 0100/0462 | Cost: 7.7649
Epoch: 006/050 | Batch 0150/0462 | Cost: 8.2432
Epoch: 006/050 | Batch 0200/0462 | Cost: 7.9488
Epoch: 006/050 | Batch 0250/0462 | Cost: 7.8119
Epoch: 006/050 | Batch 0300/0462 | Cost: 8.6539
Epoch: 006/050 | Batch 0350/0462 | Cost: 8.1756
Epoch: 006/050 | Batch 0400/0462 | Cost: 7.8302
Epoch: 006/050 | Batch 0450/0462 | Cost: 8.0348
MAE/RMSE: | Current Valid: 7.73/8.86 Ep. 5 | Best Valid : 7.30/8.42 Ep. 3
Time elapsed: 48.92 min
Epoch: 007/050 | Batch 0000/0462 | Cost: 13.2481
Epoch: 007/050 | Batch 0050/0462 | Cost: 7.1895
Epoch: 007/050 | Batch 0100/0462 | Cost: 7.5642
Epoch: 007/050 | Batch 0150/0462 | Cost: 8.0422
Epoch: 007/050 | Batch 0200/0462 | Cost: 8.2286
Epoch: 007/050 | Batch 0250/0462 | Cost: 7.9952
Epoch: 007/050 | Batch 0300/0462 | Cost: 8.2391
Epoch: 007/050 | Batch 0350/0462 | Cost: 7.5881
Epoch: 007/050 | Batch 0400/0462 | Cost: 8.1106
Epoch: 007/050 | Batch 0450/0462 | Cost: 7.8393
MAE/RMSE: | Current Valid: 7.45/8.58 Ep. 6 | Best Valid : 7.30/8.42 Ep. 3
Time elapsed: 57.11 min
Epoch: 008/050 | Batch 0000/0462 | Cost: 12.2266
Epoch: 008/050 | Batch 0050/0462 | Cost: 7.9868
Epoch: 008/050 | Batch 0100/0462 | Cost: 7.0283
Epoch: 008/050 | Batch 0150/0462 | Cost: 8.2123
Epoch: 008/050 | Batch 0200/0462 | Cost: 8.2072
Epoch: 008/050 | Batch 0250/0462 | Cost: 7.8094
Epoch: 008/050 | Batch 0300/0462 | Cost: 8.2718
Epoch: 008/050 | Batch 0350/0462 | Cost: 7.6970
Epoch: 008/050 | Batch 0400/0462 | Cost: 8.0402
Epoch: 008/050 | Batch 0450/0462 | Cost: 7.7943
MAE/RMSE: | Current Valid: 7.57/8.71 Ep. 7 | Best Valid : 7.30/8.42 Ep. 3
Time elapsed: 65.30 min
Epoch: 009/050 | Batch 0000/0462 | Cost: 12.7746
Epoch: 009/050 | Batch 0050/0462 | Cost: 7.4905
Epoch: 009/050 | Batch 0100/0462 | Cost: 7.6751
Epoch: 009/050 | Batch 0150/0462 | Cost: 7.0143
Epoch: 009/050 | Batch 0200/0462 | Cost: 7.7125
Epoch: 009/050 | Batch 0250/0462 | Cost: 7.5750
Epoch: 009/050 | Batch 0300/0462 | Cost: 7.5757
Epoch: 009/050 | Batch 0350/0462 | Cost: 7.6521
Epoch: 009/050 | Batch 0400/0462 | Cost: 7.3588
Epoch: 009/050 | Batch 0450/0462 | Cost: 7.0305
MAE/RMSE: | Current Valid: 7.38/8.59 Ep. 8 | Best Valid : 7.30/8.42 Ep. 3
Time elapsed: 73.50 min
